drink volume,drink name,attributes,quantity,volume,Serving Size_Cleaned,Added_Sugar_combined (g),protein_total (g),Combined Calories from Fat (kcal),Calories (kcal),Total Calories (kcal),Fibre (g),Carbohydrates (g),cholesterol (mg),Sodium Content (mg),trans_fat_combined (g),saturated_fat_combined (g),monounsaturated_fat_combined (g),polyunsaturated_fat_combined (g),Combined_Sugar (g),Combined_Fat (g),nutrigrade
250 g,ucc gold special roasted coffee beans rich blend,per serving (),1,250 g,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
120 g,agf slightly luxurious coffee shop special blend coffee,per serving (),1,120 g,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
4 x 300ml,sundrop milk coffee (300ml x 4 cans) - pack of 2,per serving (),4 , 300ml,100ml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,0.0,B
16 x 18g,alor original white coffee (2 in 1),per serving (),16 , 18g,,0.0,0.8,0.0,385.0,0.0,0.0,8.6,0.0,0.0,0.0,1.25,0.0,0.0,1.18,5.1,D
8 pc,best choice strong black coffee (no sugar),per serving (),1,8 pc,,0.0,0.8,0.0,12.0,0.0,2.6,1.5,0.0,8.0,0.0,2.0,0.0,0.0,0.2,3.0,D
160 g,foodness cappuccino (no added sugar),per serving (),1,160 g,,0.0,0.1,0.0,3.5,0.0,0.1,0.7,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,A
126 g,marks & spencer fairtrade instant cappuccino sachets,per serving (),1,126 g,,0.0,14.4,0.0,424.0,0.0,3.9,60.5,0.0,1130.0,0.0,11.6,0.0,0.0,46.9,12.9,D
5760 ml,bifido just drink-can-latte 24 x 240ml,per serving (100ml),1,5760 ml,100ml,4.7,1.9,0.0,64.0,0.0,0.0,9.6,3.0,76.0,0.0,1.4,0.0,0.0,7.5,2.0,C
6 x 210g,bernachon bernachon coffee-charcoal roasted bundle pack,per serving (),6 , 210g,,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,3.2,D
120 g,foodness dolce gusto golden milk with turmeric,per serving (),1,120 g,,0.0,0.0,0.0,2.9,0.0,0.0,0.7,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,A
30 x 2g,gold choice dual freeze black coffee - cold brew sensation,per serving (),30 , 2g,,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
250 g,illy ground espresso intenso coffee - dark roast,per serving (100g),1,250 g,100g,0.0,17.0,0.0,344.0,0.0,0.0,12.0,0.0,0.0,0.0,6.2,0.0,0.0,0.0,14.0,D
10 pc,punto italia espresso nespresso coffee pods organic arabica,per serving (100g),1,10 pc,100g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
131 g,illy e.s.e pods coffee - classico roast - 18 serving,per serving (100g),1,131 g,100g,0.0,17.0,0.0,344.0,0.0,0.0,12.0,0.0,0.0,0.0,6.2,0.0,0.0,0.0,14.0,D
240 x 40g (ctn),chek hup 3 in 1 instant ipoh white coffee - original,per serving,240 , 40g (ctn),,0.0,3.4,0.0,481.0,0.0,0.0,72.0,0.0,0.0,0.0,19.8,0.1,0.0,47.6,19.9,D
500 g,sunday charcoal roasted arabica dark roast coffee beans,per serving (),1,500 g,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
6 x 1s,top cappuccino instant coffee mix - choco malt 6s,per serving (110kcal),6 , 1s,110kcal,0.0,1.0,65.0,0.0,110.0,0.0,19.0,0.0,50.0,0.0,3.5,0.0,0.0,14.0,3.5,D
200 ml,origina double espresso caramel macchiato 200ml,per serving (),1,200 ml,100ml,0.0,2.6,0.0,0.0,0.0,0.0,9.2,0.0,45.3,0.0,1.5,0.0,0.0,4.3,1.6,C
18 pc,el coffee brown rice  beverage,per serving (),1,18 pc,,0.0,4.9,0.0,425.0,0.0,4.8,82.5,0.0,33.7,0.2,7.8,0.0,0.0,44.4,8.4,D
1 x 200g,foodness nutty (hazelnut) coffee,per serving (),1 , 200g,,0.0,0.1,0.0,3.2,0.0,0.1,0.7,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,A
6 x 260g,ucc the coffee deep roasted coffee low sugar,per serving (0.5g),6 , 260g,0.5g,0.0,0.5,0.0,17.0,0.0,0.0,3.3,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.2,A
8 pc,best choice black coffee (raw sugar),per serving (1),1,8 pc,1,0.0,0.9,0.0,64.0,0.0,2.1,14.1,0.0,18.000000000000004,0.0,0.2,0.0,0.0,8.6,0.5,C
240 g,everyday low gi instant coffee,per serving (),1,240 g,,0.0,0.9,0.0,90.0,0.0,1.6,14.1,0.0,27.0,0.0,3.0,0.1,0.0,2.7,3.1,D
30 x 240ml,javacafe iced mocha coffee drink - case,per serving (3g),30 , 240ml,3g,0.0,3.0,0.0,140.0,0.0,0.0,25.0,0.0,40.0,0.0,0.0,0.0,0.0,19.0,3.0,D
6 x 185g,ucc blended coffee cafe au lait low calorie,per serving (),6 , 185g,,0.0,0.5,0.0,14.0,0.0,0.0,2.2,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.4,A
250 g,cafe specialists traditional signature ground coffee powder,per serving (2.5g),1,250 g,2.5g,0.0,2.5,0.0,50.0,0.0,0.0,10.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,A
270 g,mycofe long black o,per serving (18),1,270 g,18,0.0,0.9,0.0,70.0,0.0,1.2,16.5,0.0,17.4,0.0,0.0,0.0,0.0,14.8,0.0,D
6 x 260g,ucc blended coffee luxurious cafe au lait,per serving (),6 , 260g,,0.0,0.6,0.0,40.0,0.0,0.0,7.8,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.7,B
6 x 185g,ucc black 100% roasted coffee sugar free,per serving (),6 , 185g,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
120 g,agf slightly luxurious coffee shop instant coffee modern blen,per serving (),1,120 g,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
