drink volume,drink name,attributes,energy,trans fat,protein,total fat,saturated fat,cholesterol,carbohydrate,sugars,dietary fibre,sodium,calcium,iron,vitamin c,vitamin b2,potassium,chloride,phosphate,monounsaturated fat,polyunsaturated fat,sugar,tea polyphenols,total sugar,trans fatty acid,total sugars,niacin,vitamin a,vitamin b1,vitamin d,vitamin e,thiamine (vitamin b1),riboflavin (vitamin b2),vitamin b6,folic acid,vitamin b12,biotin,pantothenic acid,zinc,beta carotene,lactose,fat,tea polyphenois,added sugars,calories,calories from fat,vitamin b3,vitamin d3,magnesium,thiamine,riboflavin,niacin (b3),riboflavin (vit b2),nicotinamide,total carbohydrate,sucrose,natrium / sodium,salt,catechin (mg),omega 6,omega 3,niacinamide,vitamin,per serving,carbohydrates,fibre,fiber,glucose,maltose,dietary fibre,phosphorus,vitamin b,macing,fats,total carbohydrates,phosphorous,vitamin k,choline,manganese,copper,iodine,total fats,added sugar,calorie,serving per,saturated fat,trans fat,proteins,bicarbonates,sulphates,chlorides,silica,nitrates,flourides,ion,fluorides,acai extract,blueberry extract,pomegranate extract,sulfates,ph value,total dissolved solids,ats,serving size: 4.5 tbsp,servings per container,saturated fats,vit d,catechin,antioxidant,theanine,water,ash,folate,asorbic acid,per serving size,salt equivalent,caffeine,total fat,dietry fibre,calories from fat,total energy,amount per,saturated fats,total carboyhdrate,dietary fiber,carbohyrate,anthocyanins,thiamin,saturates,includes added sugars,fat,sugars,saturates,fats,saturaed fat,total calories,dietary fiber,energy from fat,monounsaturated fatty acid,polyunsaturated fatty acid,saturated fatty acid,cholestrol,unsaturated fat,saturated,natrium,lipids,phosphrous,polyphenois,per,saturates fat,total carb,caffeine content,saturatedfat,of which saturated fats,of which sugars,fibres,total calorieso,calories from saturated fat,salt (sodium),serving,totalsugers,monosaturated fat,satutated fat,total dietary fiber,enery
750 ml,marks & spencer sparkling sicilian lemon & british mint press,per serving (),21kcal,,0.1g,,0.1g,,5.1g,,,,,,,,,,,,,4.3g,,,,,,,,,,,,,,,,,,,,0.1g,,,,,,,,,,,,,,,,0.01g,,,,,,,,0.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100 per pack,lipton yellow label tea bags - international blend,per serving (100ml),0g,,0g,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 x 300ml,authentic tea house ayataka no sugar japanese green tea,per serving (100ml),0kcal,,0g,,,0g,0g,0g,0g,8mg,,,,,0mg,,,,,,,,,,,,,,,,,0mg,,0mg,,,,,,,,,,,0mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 x 600g,killiney premium milk tea family bundle,per serving (null),,,0.6g,,4.9g,,,19.4g,,85mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170kcal,,,,,,,,,,,,,,,,,,,,30.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 x 300ml (ctn),pokka can drink - jasmine green tea ,per serving (300ml),72kcal,0g,0g,0g,0g,0mg,18g,18g,,18mg,,,,,,,,,,,90mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5l,fuze tea flavoured green tea bottle drink - jasmine,per serving (100ml),22kcal,,0g,0g,,,5.5g,5.5g,,5mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1l,life japanese green tea bottle drink - no sugar,per serving (250ml),0kcal,0g,0g,0g,0g,0mg,0g,0g,0g,18mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5l,pokka bottle drink - blueberry tea ,per serving (250ml),78kcal,,0g,0g,,,19.5g,19.5g,,13mg,,,,,,,,,,,10mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 x 250ml,vita hk style milk tea packet drink - original,per serving,49kcal,0g,1.4g,1.5g,1.2g,,7.4g,6.4g,,60mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30 x 20g,boh 3 in 1 instant tea mix - original,per serving (170ml),89kcal,,0.3g,2.6g,,,17.1g,,,32mg,,7.0mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5l,pokka bottle drink - chrysanthemum with white tea,per serving (250ml),55kcal,0g,0g,0g,0g,0mg,14g,14g,,15mg,,,,,,,,,,,30mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50 x 2g,osk japanese green tea bags - mixed with roasted rice,per serving (100g),,,,,,,0.1g,,,2mg,5mg,0.2mg,,,32mg,,,,,,,,,,0.2mg,,,,,,,0.01mg,,,,,,,,,,,,,,,1mg,,0.03mg,,,,,,,,,,,,,,,,,,,,2mg,,,,,,,,0.19mg,0.01mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.8g,0.1g,7µg,3mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 per pack,boh teh tarik instant milk tea beverage - original,per serving (180ml),128kcal,,1.1g,5.2g,,0mg,19.3g,10.4g,,46.1mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1l,ito en green tea bottle - oji ocha (unsweetened),per serving (250ml),4kcal,,0.3g,0g,,,0.8g,0g,,30mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 x 20g,lipton 3 in 1 instant milk tea latte - teh halia,per serving (21g),100kcal,0g,0.7g,,3.6g,,15.6g,10.4g,0.6g,50mg,,,,,,,,0g,0g,,,,,,,,,,,,,,,,,,,,,3.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50g (25 per pack),twinings teabags - earl grey,per serving (200ml),1kcal,,,,,,0.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 x 5g,gingen instant ginger powder - original (no sugar),per serving (5g),,,0g,0g,0g,0mg,5g,0g,0g,0mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 x 18g,super instant tea infusions - chrysanthemum with honey,per serving (18g),71kcal,,0.1g,0.1g,,,17.6g,,0g,4mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50 x 1.5g,lipton green tea bags - lively fresh,per serving (1.5g),0g,,0g,0g,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15 x 35g,gold kili premium instant white milk tea - double shot,per serving (35g),160kcal,,< 2g,7g,6g,0mg,25g,15g,< 0g,60mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 x 18g,gingen instant ginger powder - strong,per serving (18g),,,0g,0g,0g,0mg,18g,17g,0g,0mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70cal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 x 18g,super instant tea infusions - red date & longan,per serving (18g),71kcal,,0.1g,0g,,,17.6g,,0g,1mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480ml,life bottle drink - herbal tea,per serving (240ml),48kcal,0g,0g,0g,0g,0mg,12.2g,9.8g,0g,7mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80 g,mamami matcha powder from japan,per serving (1g),,,1g,,,0g,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480ml,life bottle drink - red date tea,per serving (240ml),77kcal,0g,0.2g,0g,0g,0mg,18.7g,,0g,12mg,,,,,,,,,,,,16.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 x 18g,gold kili instant ginger drink - brown sugar ,per serving (18g),70kcal,0g,0.2g,0g,0g,,17.4g,17.4g,0g,0.3mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50 x 2g,fairprice japanese green tea -yabukita blend with roasted rice,per serving (2g),0kcal,0g,0g,0g,0g,0mg,,,0g,0mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1l,marigold packet drink - chrysanthemum tea (less sweet),per serving (250ml),87kcal,,0g,0g,,,21.8g,20.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 x 250ml,lo bros organic raspberry & lemon kombucha,per serving (1g),,,,,,,,1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 x 250ml,lo bros organic passionfruit kombucha,per serving (1g),,,,,,,,1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40g (20 per pack),sea dyke tea bags - oolong tea ,per serving (2g),,,0.542g,0.024g,,,0.808g,,,0.16mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.58kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250g,daribell pure and natural instant ginger tea powder,per serving (15g),61kcal,0g,0g,0g,0g,,15g,10g,,6mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 x 18g,gingen instant ginger powder -  brown sugar,per serving (18g),,,0g,0g,0g,0mg,18g,17g,0g,0mg,0%,< 2%,0%,0%,,,,,,,,,,,,0%,0%,,,,,,,,,,,,,,,,70kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140 g,nitto royal milk tea 10p,per serving (),59kcal,,0.9g,,,,11.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05g,0.02g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480 g,ah huat teh c,per serving (),134kcal,,1.6g,3.4g,,0mg,,,0.7g,74.2mg,,,,,,,,,,,,,,15.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 x 2g,tly tea bags - bittergrourd,per serving (100g),335kcal,,18.8g,,,0mg,63.2g,,,37mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8g,43.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50 x 2g,ta-fu tea bags - genmai cha (non staple),per serving (100g),,0g,< 1g,3.5g,3.5g,0mg,20g,15g,1g,25mg,,,,,190mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,110kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 x 500ml,hung fook tong ice lemon tea herbal drink [bundle of 2],per serving (100ml),,,0g,,,,,6.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400 ml,the gutsy captain ginger & lemon kombucha zero,per serving (100),0kj,,0g,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,0.01g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400 ml,the gutsy captain passionfruit kombucha,per serving (100),74kj,,0g,,,,4.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0g,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750 ml,rok kombucha passionfruit rap (l),per serving (100ml),,,,,,,3g,2.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1kg,jewon gold korean citron tea - natural yuja,per serving (25g),,0g,0g,0g,0g,0mg,16g,14g,0g,21mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 pc,best choice ginseng longan red dates & goji triangle tea bag,per serving (),5kj,,0g,0g,,,,,,0mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 x 250ml,hi-c low sugar ceylon lemon tea [bundle of 6],per serving (),,,0g,,,,,4.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,sosro tehbotol - original 450ml [ carton ],per serving (),,,,,,,,16.4g,,27mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100 g,"mamami ""-"" hojicha powder (japan)",per serving (1g),,,1g,,,0g,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 pc,best choice pineapple & osmanthus snow pear triangle tea bag,per serving (1),1393kj,,2.5g,,,,77.5g,,,0mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 pc,best choice brown sugar & red date ginger tea triangle tea ba,per serving (1),1659kj,,0g,,,,97.6g,,,0mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,sosro tehbotol - less sugar 450ml [ carton ],per serving (),,,,,,,,9.9g,,15mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 pc,best choice red date tea (raw sugar),per serving (1),17kcal,0g,0.1g,0.0g,0g,0mg,4.2g,,0.1g,0mg,,,,,,,,,,4.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160 g,kim's duet teh-o (black tea with less sugar),per serving (200),12kcal,,,,,,3.1g,,,1mg,,,,,,,,,,2.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400 g,kim's duet teh-c (black tea with milk & less sugar),per serving (180),37g,,0.2g,,,,6g,,0.6g,4g,,,,,,,,,,2.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3g,,,,1.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190 g,lipton hong kong style yuanyang milk tea,per serving (100ml),,,1.2g,,,,,9.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400 ml,the gutsy captain original kombucha zero,per serving (),0kj,,0g,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,0.01g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400 ml,the gutsy captain raspberry kombucha zero,per serving (100),0kj,,0g,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,0.01g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40 g,green bio tech natural soursop leaf tea,per serving (100g),380kcal,,11.1g,,,,68.4g,,,8.4mg,,,,,,,,,,6.5g,,,,,,,,,,,,,,,,,,,,6.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100g,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36 x 1.6g,lipton brown rice green tea bags,per serving,0kcal,,0g,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 x 250ml,hi-c lemon tea [bundle of 6],per serving (),,,0g,,,,,4.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 pc,best choice lemongrass & pandan tea (raw sugar),per serving (1),14kcal,0g,0g,0g,0g,0mg,3.5g,,0g,3mg,,,,,,,,,,3.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99 g,nitto salt and lychee tea 10p,per serving (),38kcal,,0g,,,,9.5g,,,,,,100mg,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24g,0.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330 ml,liberty blood orange kombucha,per serving (100),27kj,,0g,,,,1.6g,,,1mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
